,date,shakes
323,1389/1/18,13681.2
324,1389/1/21,13754.0
325,1389/1/22,13802.6
326,1389/1/23,13832.8
327,1389/1/24,13904.0
328,1389/1/25,13903.4
329,1389/1/28,13815.7
330,1389/1/29,13935.0
331,1389/1/30,14138.3
332,1389/1/31,14185.7
333,1389/2/1,14129.2
334,1389/2/4,14079.9
335,1389/2/5,14053.3
336,1389/2/6,14129.0
337,1389/2/7,14139.4
338,1389/2/8,14012.5
339,1389/2/11,14136.7
340,1389/2/12,14085.9
341,1389/2/13,14012.6
342,1389/2/14,14036.7
343,1389/2/15,13944.8
344,1389/2/18,13920.5
345,1389/2/19,14014.3
346,1389/2/20,14099.5
347,1389/2/21,14131.7
348,1389/2/22,14105.3
349,1389/2/25,14096.1
350,1389/2/26,14138.8
351,1389/2/28,14156.7
352,1389/2/29,14155.6
353,1389/3/1,14117.2
354,1389/3/2,14080.5
355,1389/3/3,14115.5
356,1389/3/4,14184.3
357,1389/3/5,14153.8
358,1389/3/8,14119.9
359,1389/3/9,14087.6
360,1389/3/10,14038.3
361,1389/3/11,14109.0
362,1389/3/12,14182.4
363,1389/3/16,14164.7
364,1389/3/17,14135.3
365,1389/3/18,14148.8
366,1389/3/19,14055.1
367,1389/3/22,14114.9
368,1389/3/23,14180.3
369,1389/3/24,14288.5
370,1389/3/25,14394.2
371,1389/3/26,14372.0
372,1389/3/29,14340.6
373,1389/3/30,14280.9
374,1389/3/31,14257.0
375,1389/4/1,14350.6
376,1389/4/2,14489.4
377,1389/4/6,14503.0
378,1389/4/7,14500.9
379,1389/4/8,14545.3
380,1389/4/9,14552.3
381,1389/4/12,14561.1
382,1389/4/13,14504.2
383,1389/4/14,14553.2
384,1389/4/15,14571.6
385,1389/4/16,14718.8
386,1389/4/20,14883.4
387,1389/4/21,14981.5
388,1389/4/22,15005.9
389,1389/4/23,15080.4
390,1389/4/26,15118.0
391,1389/4/27,15189.0
392,1389/4/28,15244.8
393,1389/4/29,15344.6
394,1389/4/30,15360.7
395,1389/5/2,15455.4
396,1389/5/3,15660.9
397,1389/5/4,15746.5
398,1389/5/6,15794.1
399,1389/5/9,15840.5
400,1389/5/10,15870.0
401,1389/5/11,16078.1
402,1389/5/12,16281.7
403,1389/5/13,16317.9
404,1389/5/16,16606.1
405,1389/5/17,16625.9
406,1389/5/18,16674.4
407,1389/5/19,16841.4
408,1389/5/20,16995.1
409,1389/5/23,16864.6
410,1389/5/24,16701.1
411,1389/5/25,16766.9
412,1389/5/26,16910.8
413,1389/5/27,17009.6
414,1389/5/30,16974.6
415,1389/5/31,16957.6
416,1389/6/1,17116.7
417,1389/6/2,17152.7
418,1389/6/3,17233.1
419,1389/6/6,17401.0
420,1389/6/7,17767.8
421,1389/6/8,17938.0
422,1389/6/9,17955.7
423,1389/6/13,18315.8
424,1389/6/14,18636.1
425,1389/6/15,18648.2
426,1389/6/16,18458.9
427,1389/6/17,18429.6
428,1389/6/21,18533.4
429,1389/6/22,18533.7
430,1389/6/23,18543.1
